NUMERO DE ORDEM       @ANOMES@COD.NCM @DESCRICAO DO CODIGO NCM       @PAIS@PAIS DE ORIGEM      @PAIS@PAIS DE AQUISICAO   @UND.ESTAT.@UNIDADE DE MEDIDA   @UNIDADE COMERC.     @DESCRICAO DO PRODUTO                                                                                                                                                                                                                                      @QTDE ESTATISTICA   @PESO LIQUIDO       @VMLE DOLAR        @VL FRETE DOLAR    @VL SEGURO DOLAR   @VALOR UN.PROD.DOLAR  @QTD COMERCIAL. @TOT.UN.PROD.DOLAR    @UNIDADE DESEMBARQUE           @UNIDADE DESEMBARACO           @INCOTERM@NAT.INFORMACAO @SITUACAO DO DESPACHO               ,,,,,,,,,,,,,,,,,,,,,,,,,,
0000000083070001000002@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, COM SUPORTE DE PLASTICO E PORTA-FUSIVEL**SUFRAMA**MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, COM SUPORTE DE PLASTICO E PORTAFUSIVEL **SUFRAMA**MOTOR DO VENTILADOR, ELETRICO,DE CORRENTE ALTERNADA, S@         4400,00000@         1452,00000@           1998,16@             65,65@              0,62@            0,4517760@     2200,00000@          993,9072000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000084610000700001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, COM SUPORTE DE PLASTICO E PORTAFUSIVEL **SUFRAMA**MOTOR DO VENTILADOR, ELETRICO, DE CORRENTE ALTERNADA, S@         4120,00000@         1442,00000@           4779,61@            133,91@              1,52@            1,1545000@     4080,00000@         4710,3600000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,
0000000084610000700002@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, COM SUPORTE DE PLASTICO E PORTAFUSIVEL **SUFRAMA**MOTOR DO VENTILADOR, ELETRICO, DE CORRENTE ALTERNADA, S@         4120,00000@         1442,00000@           4779,61@            133,91@              1,52@            1,1545000@       40,00000@           46,1800000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,
0000000084610000800001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS. **SUFRAMA**MOTOR DO PRATO GIRATORIO, ELETRICO, DE CORRENTE ALTERNA@         4120,00000@          297,95840@           2121,32@             27,67@              0,67@            0,5124000@      120,00000@           61,4880000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,
0000000084610000800002@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS. **SUFRAMA**MOTOR DO PRATO GIRATORIO, ELETRICO, DE CORRENTE ALTERNA@         4120,00000@          297,95840@           2121,32@             27,67@              0,67@            0,5124000@     4000,00000@         2049,6000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,
0000001413600000300001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @UNIDADE             @MOTORES ELÉTRICOS DE CORRENTE ALTERNADA DE POTENCIA <=38.5W, SINCRONOS.                                                                                                                                                                                   @           10,00000@            5,00000@             90,75@              1,72@              0,27@            9,0000000@       10,00000@           90,0000000@PORTO DE RIO GRANDE           @ALF - PORTO ALEGRE            @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000958180000300001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PC                  @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS. **SUFRAMA**6549W1S013M, MOTOR, CORRENTE ALTERNADA, SINCRONO, 21V, 150MA, 50/60HZ, (2.5 A3) RPM, 3 W. 6549W1S013M                                                   @         1548,00000@          131,58000@            859,29@             15,54@              0,35@            0,5640200@     1548,00000@          873,1029600@N/INFORMADO                   @PORTO DE MANAUS               @CIF@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,
0000000958850001800001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**724000072 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA BIFASICO; SUBTIPO: SINCRONO; ATRIBUTO AB POTENCIA (KW): 3 W; VALOR DA TENSAO (VOLT): 120 V; VALOR DA C@         1600,00000@          113,60000@           1441,36@             14,94@              0,25@            0,9000000@     1600,00000@         1440,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000955180001900001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**724000029 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: SINCRONO; ATRIBUTO AB POTENCIA (KW): 3 W; VALOR DA TENSAO (VOLT): 120 V; VALOR DA@         6800,00000@          489,60000@           6126,36@             69,76@              1,09@            0,9000000@     1700,00000@         1530,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000955180001900002@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**724000029 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: SINCRONO; ATRIBUTO AB POTENCIA (KW): 3 W; VALOR DA TENSAO (VOLT): 120 V; VALOR DA@         6800,00000@          489,60000@           6126,36@             69,76@              1,09@            0,9000000@     1700,00000@         1530,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000955180001900003@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**724000029 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: SINCRONO; ATRIBUTO AB POTENCIA (KW): 3 W; VALOR DA TENSAO (VOLT): 120 V; VALOR DA@         6800,00000@          489,60000@           6126,36@             69,76@              1,09@            0,9000000@     1700,00000@         1530,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000955180001900004@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTERNADA, SINCRONO, DE POTENCIA NAO SUPERIOR A 37,5 WATTS.**SUFRAMA**724000029 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: SINCRONO; ATRIBUTO AB POTENCIA (KW): 3 W; VALOR DA TENSAO (VOLT): 120 V; VALOR DA@         6800,00000@          489,60000@           6126,36@             69,76@              1,09@            0,9000000@     1700,00000@         1530,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000961350000100001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@386@ITALIA              @386@ITALIA              @11@UNIDADE             @UNIDADE             @MOTOR REDUTOR 110 - 127V 3,5W BBS, CORRENTE ALTERNADA, SINCRONO - PARA USO NA FABRICAÇÃO DE REFRESQUEIRA DE SUCO DE MARCA IBBL, COD. 10420015.                                                                                                            @         1300,00000@          220,00000@          12262,72@             72,49@             13,56@            8,8454425@      200,00000@         1769,0885000@N/INFORMADO                   @PORTO DE SANTOS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000000961350000100002@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@386@ITALIA              @386@ITALIA              @11@UNIDADE             @UNIDADE             @MOTOR REDUTOR 220 - 230V 3,5W BBS, CORRENTE ALTERNADA, SINCRONO - PARA USO NA FABRICAÇÃO DE REFRESQUEIRA DE SUCO DE MARCA IBBL, COD. 10420016.                                                                                                            @         1300,00000@          220,00000@          12262,72@             72,49@             13,56@            8,8454425@     1000,00000@         8845,4425000@N/INFORMADO                   @PORTO DE SANTOS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000000961350000100003@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@386@ITALIA              @386@ITALIA              @11@UNIDADE             @UNIDADE             @MOTOR REDUTOR 220 - 230V 5,0W HD5 50HZ, CORRENTE ALTERNADA, 500 RPM COM VELOCIDADE FINAL 30RPM. SÍNCRONO, CAP 0,12 UF/500VAC - PARA USO NA FABRICAÇÃO DE APARELHO PARA CONSERVAÇÃO DE BEBIDAS QUENTES DE MARCA IBBL, COD. 10420021.                       @         1300,00000@          220,00000@          12262,72@             72,49@             13,56@           17,1202114@      100,00000@         1712,0211400@N/INFORMADO                   @PORTO DE SANTOS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000000961350000200001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@386@ITALIA              @386@ITALIA              @11@UNIDADE             @UNIDADE             @MOTOR REDUTOR 110 - 127V 3,5W BBS2, CORRENTE ALTERNADA, SINCRONO - PARA USO NA FABRICAÇÃO DE REFRESQUEIRA DE SUCO DE MARCA IBBL.                                                                                                                          @          600,00000@          100,00000@           5278,04@             32,95@              5,83@            8,8454425@      240,00000@         2122,9062000@N/INFORMADO                   @PORTO DE SANTOS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000961350000200002@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@386@ITALIA              @386@ITALIA              @11@UNIDADE             @UNIDADE             @MOTOR REDUTOR 220 - 230V 3,5W BBS2, CORRENTE ALTERNADA, SINCRONO - PARA USO NA FABRICAÇÃO DE REFRESQUEIRA DE SUCO DE MARCA IBBL.                                                                                                                          @          600,00000@          100,00000@           5278,04@             32,95@              5,83@            8,8454425@      360,00000@         3184,3593000@N/INFORMADO                   @PORTO DE SANTOS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001122850001100001@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PEÇA                @MOTOR ELÉTRICO DE CORRENTE ALTERNADA C/ POTÊNCIA <=37,5W PARA DRENAGEM DE ÁGUA DA LAVADORA BPX2-26LS                                                                                                                                                      @         4896,00000@         2147,52000@          15400,61@            658,23@              8,39@            3,1327841@      352,00000@         1102,7400032@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001122850001100002@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PEÇA                @MOTOR ELÉTRICO DE CORRENTE ALTERNADA C/ POTÊNCIA <=37,5W PARA DRENAGEM DE ÁGUA DA LAVADORA BPX1-49LS                                                                                                                                                      @         4896,00000@         2147,52000@          15400,61@            658,23@              8,39@            3,1327991@     2240,00000@         7017,4699840@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001122850001100003@201802@85011021@MOTS.ELÉTR.CORR.ALTERN.C/P<=37@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PEÇA                @MOTOR ELÉTRICO DE CORRENTE ALTERNADA C/ POTÊNCIA <=37,5W PARA DRENAGEM DE ÁGUA DA LAVADORA BPX2-77LS                                                                                                                                                      @         4896,00000@         2147,52000@          15400,61@            658,23@              8,39@            3,1327995@     2304,00000@         7217,9700480@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001121610000700001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@455@MALASIA             @11@UNIDADE             @Peça                @S948C27771 - MOTOR DE CORRENTE ALTERNADA, LINEAR DE VIBRAÇÃO DO TIPO LRA(ATUADOR LINEAR RESSONANTE), PARA POTENCIA INFERIOR A 37,5W(MAX. DE 0,144W), TENSÃO DE ENTRADA DE 1,8VAC E CORRENTE DE 0,08A,MONTADO COM ADESIVOS DE PROTEÇÃO, UTILIZADO EM APAREL@          200,00000@            0,19420@            175,24@              6,27@              0,09@            0,8762000@      200,00000@          175,2400000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,
0000000912520000800001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR DE PASSO - STEPPER MOTOR ’ 11002010000546 - PECAS P/ AR CONDICIONADO SPLIT- MARCA ELGIN - 73150148                                                                                                                                                  @            6,00000@            1,07124@             18,81@              0,32@              0,00@            1,8500000@        3,00000@            5,5500000@N/INFORMADO                   @ITAJAI                        @FOB@   ESPECIAL    @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000912520000800002@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR DE PASSO - STEPPER MOTOR ’ 11002010000057 - PECAS P/ AR CONDICIONADO SPLIT - MARCA ELGIN - 73150147                                                                                                                                                 @            6,00000@            1,07124@             18,81@              0,32@              0,00@            4,4100000@        3,00000@           13,2300000@N/INFORMADO                   @ITAJAI                        @FOB@   ESPECIAL    @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000955180002000001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTENADA, ASSINCRONO, COM SUPORTE DE PLASTICO, PORTA-FUSIVEL E FUSIVEL**SUFRAMA**724000361 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: ASSINCRONO; ATRIBUTO AB POTENCIA (KW): 4 W; VALOR DA TENSAO (VOLT): 12@         6800,00000@         2433,78800@           2071,66@            346,81@              0,36@            0,3000000@     1700,00000@          510,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000955180002000002@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTENADA, ASSINCRONO, COM SUPORTE DE PLASTICO, PORTA-FUSIVEL E FUSIVEL**SUFRAMA**724000361 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: ASSINCRONO; ATRIBUTO AB POTENCIA (KW): 4 W; VALOR DA TENSAO (VOLT): 12@         6800,00000@         2433,78800@           2071,66@            346,81@              0,36@            0,3000000@     1700,00000@          510,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000955180002000003@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTENADA, ASSINCRONO, COM SUPORTE DE PLASTICO, PORTA-FUSIVEL E FUSIVEL**SUFRAMA**724000361 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: ASSINCRONO; ATRIBUTO AB POTENCIA (KW): 4 W; VALOR DA TENSAO (VOLT): 12@         6800,00000@         2433,78800@           2071,66@            346,81@              0,36@            0,3000000@     1700,00000@          510,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000955180002000004@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTENADA, ASSINCRONO, COM SUPORTE DE PLASTICO, PORTA-FUSIVEL E FUSIVEL**SUFRAMA**724000361 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: ASSINCRONO; ATRIBUTO AB POTENCIA (KW): 4 W; VALOR DA TENSAO (VOLT): 12@         6800,00000@         2433,78800@           2071,66@            346,81@              0,36@            0,3000000@     1700,00000@          510,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000958850001900001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @MOTOR ELETRICO DE CORRENTE ALTENADA, ASSINCRONO, COM SUPORTE DE PLASTICO, PORTA-FUSIVEL E FUSIVEL**SUFRAMA**724000369 MOTOR ELETRICO; TIPO: CORRENTE ALTERNADA MONOFASICO; SUBTIPO: ASSINCRONO; ATRIBUTO AB POTENCIA (KW): 4 W; VALOR DA TENSAO (VOLT): 12@         1600,00000@          658,24000@             87,90@             86,62@              0,01@            0,0500000@     1600,00000@           80,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000001410050000500001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@023@ALEMANHA            @023@ALEMANHA            @11@UNIDADE             @UNIDADE             @SERVOMOTOR DE CORRENTE ALTERNADA - TRIFASICO - ASSINCRONO, DE 2,7 N/M. TRANSMISSÃO MOVIMENTO ROTATIVO COM CONTROLE, INDUÇÃO DE CORRENTE ELÉTRICA, GERANDO MOVIMENTO ROTATIVO. UTILIZADO NA ESTAÇÃO DE MAGNETIZAÇÃO DO ROTOR  VCC. REFERÊNCIA: SERVOMOTOR @            1,00000@            4,45000@           1887,59@             39,80@              0,91@         1887,5912634@        1,00000@         1887,5912634@N/INFORMADO                   @JOINVILLE                     @FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000001407240004500001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@741@CINGAPURA           @11@UNIDADE             @PECAS               @MOTOR ELETRICO DE CORRENTE ALTERNADA, MONOFASICO, PARA UNIDADE CONDENSADORA DO CONDICIONADOR DE AR TIPO SPLIT SYSTEM.**SUFRAMA**MOTOR ELETRICO DO VENTILADOR, CORRENTE ALTERNADA, POTENCIA 32W, TENSAO 220V/60HZ, 890RPM, CORRENTE 0.85A, 6 POLOS, MONOFAS@          680,00000@         1156,00000@           6986,47@            324,75@              7,98@           10,6916938@      680,00000@         7270,3517840@N/INFORMADO                   @PORTO DE MANAUS               @DAP@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,
0000001405410000100001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @UNIDADE             @SB-MW02.431 - Modulo para controle de ate 2 motores de cortina vertical, com funcoes de sobe/para/desce, com conexao cabo bus para programacao atraves do software buspro, entrada de energia DC 15-30V. Com encaixe para trilho DIN, dimensoes: 72x90x66 @           20,00000@            4,96000@            780,00@             47,46@              0,73@           39,0000000@       20,00000@          780,0000000@N/INFORMADO                   @SAO PAULO                     @EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000000074220000300001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@249@ESTADOS UNIDOS      @573@PAISES BAIXOS (HOLAN@11@UNIDADE             @UNIDADE             @P/N:76900-01802-106 - ATUADOR DO PILOTO AUTOMATICO, USADO ZERO-HORA - S/N:8107514 - PICKSLIP:1100045                                                                                                                                                      @            1,00000@            0,80300@          15869,80@              8,05@             31,79@        15869,8000000@        1,00000@        15869,8000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DO RIO@FCA@   ESPECIAL    @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000000099050002500001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECAS               @MOTOR ELETRICO DE CORRENTE ALTERNADA, MONOFASICO, PARA UNIDADE EVAPORADORA DO CONDICIONADOR DE AR TIPO SPLIT SYSTEM.**SUFRAMA**MOTOR ELETRICO DE CORRENTE ALTERNADA, MONOFASICO, PARA UNIDADE EVAPORADORA DO CONDICIONADOR DE AR TIPO SPLIT SYSTEM, POTENC@          315,00000@          675,68000@           2614,55@            167,97@              1,35@            8,1930000@      315,00000@         2580,7950000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000000796870002200001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @2694300 - Motor eletrico de corrente alternada, do tipo assincrono, de volicidade 1500 RPM e portencia 10W, utilizado no equipamento Agitador Magnetico RT/RO/RH/HB (Marca - IKA).                                                                        @            1,00000@            0,10000@             38,00@              0,97@              0,00@           38,0000000@        1,00000@           38,0000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000001128830000400001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@023@ALEMANHA            @023@ALEMANHA            @11@UNIDADE             @PECAS               @1010133 SERVO MOTOR DA FACA iSH140/20 125/B1/P1 - 53000256                                                                                                                                                                                                @            1,00000@           19,67800@           2542,49@            125,31@             12,70@         2542,5000000@        1,00000@         2542,5000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000016560002500001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECAS               @MOTOR ELETRICO DE CORRENTE ALTERNADA, MONOFASICO, PARA UNIDADE EVAPORADORA DO CONDICIONADOR DE AR TIPO SPLIT SYSTEM.**SUFRAMA**MOTOR ELETRICO DE CORRENTE ALTERNADA, MONOFASICO, PARA UNIDADE EVAPORADORA DO CONDICIONADOR DE AR TIPO SPLIT SYSTEM, POTENC@          360,00000@          772,20000@           3041,26@            158,96@              1,58@            8,3610000@      360,00000@         3009,9600000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
0000000037520003400001@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@249@ESTADOS UNIDOS      @249@ESTADOS UNIDOS      @11@UNIDADE             @PEÇAS               @M7284Q1082/U - SERVOMOTOR MODULANTE, SINAL 4-20MA, 150LB-IN, 24-120-230V, -40 A 60¨C, 60HZ, STROKE DE 90¨, TEMPO DE 30 S                                                                                                                                  @           18,00000@           50,94000@           1397,84@            464,33@              0,93@          100,1100000@        1,00000@          100,1100000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
0000000037520003400002@201802@85011029@OUTS.MOTS.ELÉTR.D/CORRENTE ALT@249@ESTADOS UNIDOS      @249@ESTADOS UNIDOS      @11@UNIDADE             @PEÇAS               @M7284A1004 - SERVOMOTOR ATUADOR PARA DAMPER DE AR ROTATIVO DE 0 A 90 GRAUS COM TORQUE DE 17NM ENCAPSULADO EM CAIXA DE ALUMINIO DE 160 X 140 X 185 MM. TENSAO DE ALIMENTACAO 120VAC E SINAL DE CONTROLE DE 4 A 20MA.                                       @           18,00000@           50,94000@           1397,84@            464,33@              0,93@           75,6137500@       16,00000@         1209,8200000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
